"gene_symbol","logFC","P.Value","adj.P.Val","mouse_gene","mouse_logFC","direction_concordant"
"GCLC",-1.04174333333333,0.0109279337256073,0.196482303289722,"Gclc",1.41693477002997,FALSE
"TXNRD1",0.900113333333332,0.0771624468993515,0.421469487271605,"Txnrd1",1.05885494300285,TRUE
"RCAN1",-0.813289999999999,0.0419396593164046,0.328732023383773,"Rcan1",1.48757307673658,FALSE
"ITCH",-0.77948,0.0055496022340479,0.151587453311807,"Itch",-1.18458387725982,TRUE
"SRXN1",0.707589999999998,0.14071254552466,0.525494126103029,"Srxn1",2.12009027774658,TRUE
"HMOX1",0.466303333333334,0.20712989103811,0.601612108413063,"Hmox1",3.83364297586124,TRUE
"RCAN2",-0.410139999999998,0.0663082475485953,0.39546354882846,"Rcan2",-1.28019896132931,TRUE
"BTG1",-0.305353333333336,0.107322017580855,0.473796938258573,"Btg1",1.88569789483708,FALSE
"XPA",-0.241733333333333,0.174231529736123,0.565350766261958,"Xpa",-1.4442813188142,TRUE
