probe,gene_symbol
1419537_at,Tfec
1419538_at,Flt3
1419539_at,Irx4
1419540_at,Fthl17d///Fthl17-ps1///Fthl17c///Fthl17b///Fthl17e
1419541_at,Ppp1r2-ps9
1419542_at,Dazl
1419543_a_at,Tra2b
1419544_at,Atp6v1c1
1419545_a_at,Atp6v1c1
1419546_at,Atp6v1c1
1419547_at,Fahd1
1419548_at,Kpna1
1419549_at,Arg1
1419550_a_at,Stk39
1419551_s_at,Stk39
1419552_at,Echdc1
1419553_a_at,Rabggtb
1419554_at,Cd47
1419555_at,Elf5
1419556_at,Elf5
1419557_a_at,Tmem9
1419558_at,Mdm4
1419559_at,Cyp4f14
1419560_at,Lipc
1419561_at,Ccl3
1419562_at,Birc6
1419563_at,Birc6
1419564_at,Zfp467
1419565_a_at,Zfx
1419566_at,Fank1
1419567_at,Fank1
1419568_at,Mapk1
1419569_a_at,Isg20
1419570_at,Slc28a3
1419571_at,Slc28a3
1419572_a_at,Abcd4
1419573_a_at,Lgals1
1419574_at,Zfp292
1419575_s_at,Zfp292
1419576_at,Hoxb13
1419577_at,Fig4
1419578_at,Mbl1
1419579_at,Slc7a12
1419580_at,Dlg4
1419581_at,Dlg4
1419582_at,Cyp2c55
1419583_at,Cbx4
1419584_at,Ttc28
1419585_at,Rp2
1419586_at,Rp2
1419587_s_at,Rp2
1419588_at,Spag1
1419589_at,Cd93
1419590_at,Cyp2b9
1419591_at,Gsdmc2///Gsdmc
1419592_at,Unc5c
1419593_at,Greb1
1419594_at,Ctsg
1419595_a_at,Ggh
1419596_at,Eda
1419597_at,Eda
1419598_at,Ms4a6d
1419599_s_at,Ms4a6d
1419600_at,Defb4
1419601_at,Kcnj10
1419602_at,Hoxa2
1419603_at,Ifi204
1419604_at,Zbp1
1419605_at,Clec10a
1419606_a_at,Tnnt1
1419607_at,Tnf
1419608_a_at,Mia
1419609_at,Ccr1
1419610_at,Ccr1
1419611_at,4632415L05Rik
1419612_at,4632415L05Rik
1419613_at,Col7a1
1419614_at,Pla2g12b
1419615_at,Trpv6
1419616_at,Bmpr2
1419617_at,Kcnn1
1419618_at,Bbox1
1419619_at,Krt80
1419620_at,Pttg1
1419621_at,Ankrd2
1419622_at,Ugt2b5
1419623_at,Prss21
1419624_a_at,1700010I14Rik
1419625_at,Hspa1l
1419626_at,Adam25
1419627_s_at,Clec4n
1419628_at,Vsx2
1419629_at,Mesp2
1419630_a_at,Trim11
1419631_at,Was
1419632_at,Tecta
1419633_at,Uncx
1419634_a_at,Ghrh
1419635_at,4833420G17Rik
1419636_at,4833420G17Rik
1419637_s_at,4833420G17Rik
1419638_at,Efnb2
1419639_at,Efnb2
1419640_at,Purb
1419641_at,Purb
1419642_at,Purb
1419643_s_at,2310065H11Rik///2310057J18Rik
1419644_at,Cstf2
1419645_at,Cstf2
1419646_a_at,Mbp
1419647_a_at,Ier3
1419648_at,Myo1c
1419649_s_at,Myo1c
1419650_at,Zfr
1419651_at,Nkain1
1419652_s_at,Nkain1
1419653_a_at,Ddx5
1419654_at,Tle3
1419655_at,Tle3
1419656_at,Slc25a36
1419657_a_at,Slc25a36
1419658_at,LOC102641046///H2-T-ps///H2-T23
1419659_s_at,Chic2
1419660_at,Yae1d1
1419661_at,Yae1d1
1419662_at,Ogn
1419663_at,Ogn
1419664_at,Srr
1419665_a_at,Nupr1
1419666_x_at,Nupr1
1419667_at,Sgcb
1419668_at,Sgcb
1419669_at,Prtn3
1419670_at,Ftcd
1419671_a_at,Il17rc
1419672_at,Spock1
1419673_at,Spock1
1419674_a_at,Dpep1
1419675_at,Ngf
1419676_at,Mx2
1419677_at,Masp1
1419678_at,Lats2
1419679_at,Lats2
1419680_a_at,Elac2
1419681_a_at,Prok2
1419682_a_at,Trp53rka///Trp53rkb
1419683_at,Trp53rkb
1419684_at,Ccl8
1419685_at,Upf1
1419686_at,Cep41
1419687_at,Macrod1
1419688_at,Gpc6
1419689_at,Gpc6
1419690_at,Chmp1b///2610002M06Rik
1419691_at,Camp
1419692_a_at,Ltc4s
1419693_at,Colec12
1419694_at,St8sia1
1419695_at,St8sia1
1419696_at,Cd4
1419697_at,Cxcl11
1419698_at,Cxcl11
1419699_at,Scgb3a1
1419700_a_at,Prom1
1419701_s_at,Anks3
1419702_at,Taf1a
1419703_at,Col5a3
1419704_at,Cyp3a41b///Cyp3a41a
1419705_at,Car5b
1419706_a_at,Akap12
1419707_at,Krtap14
1419708_at,Wnt6
1419709_at,Stfa3
1419710_at,Nxph3
1419711_at,Cd7
1419712_at,Il3ra
1419713_at,Atp8b3
1419714_at,Cd274
1419715_at,1700029F12Rik
1419716_a_at,Pou2f1
1419717_at,Sema3e
1419718_at,4921530L21Rik
1419719_at,Gabrb1
1419720_at,Gp9
1419721_at,Hcar2
1419722_at,Klk8
1419723_at,Opn1mw
1419724_at,Edar
1419725_at,Slc26a4
1419726_at,Adam18
1419727_at,Cd55b
1419728_at,Cxcl5
1419729_at,Tex11
1419730_at,Ahcyl2
1419731_at,Cyp2b19
1419732_at,Rtn4r
1419733_at,Glipr1l2
1419734_at,Actb
1419735_at,Csn3
1419736_a_at,Eif1ax
1419737_a_at,Ldha
1419738_a_at,Tpm2
1419739_at,Tpm2
1419740_at,Pde6b
1419741_at,Supt16
1419742_at,1700037H04Rik
1419743_s_at,Carm1
1419744_at,H2-DMb2
1419745_at,Arhgap23
1419746_at,Arhgap23
1419747_at,Asgr2
1419748_at,Abcd2
1419749_at,Trdmt1
1419750_at,Trdmt1
1419751_x_at,Slc22a27
1419752_at,Nfx1
1419753_at,Nfx1
1419754_at,Myo5a
1419755_at,Mfi2
1419756_at,Dgkg
1419757_at,Pitpnm2
1419758_at,Abcb1a
1419759_at,Abcb1a
1419760_a_at,Rwdd2b
1419761_a_at,Gabpb1
1419762_at,Ubd
1419763_at,Nkap
1419764_at,Chil3
1419765_at,Cul2
1419766_at,Sik1
1419767_at,Padi3
1419768_at,Cd22
1419769_at,Cd22
1419772_at,Dnajc1
1419773_at,Aplf
1419774_at,D2Ertd239e
1419781_at,D630004N19Rik
1419782_at,AA517864
1419785_at,AA516738
1419786_at,Ltbp1
1419787_a_at,Zfp628
1419789_at,Agap2
1419791_at,Zhx3
1419792_at,Kif20b
1419793_at,D5Ertd615e
1419794_at,Gm31133
1419795_at,AA517631
1419796_at,Gm15934
1419797_at,AA672641
1419798_at,Rab26os
1419799_at,Rpl27a
1419800_at,Gm29638
1419802_at,Ccdc12
1419803_s_at,Ccdc12
1419804_at,1700051A21Rik
1419805_s_at,Ggps1
1419806_at,Hdlbp
1419807_at,D4Ertd335e
1419808_at,Cog4
1419809_s_at,Cog4
1419810_x_at,Arhgap9
1419811_at,Adcy9
1419812_s_at,Coa3
1419813_at,Kdm5c
1419814_s_at,S100a1
1419815_at,Mettl17
1419816_s_at,Errfi1
1419817_s_at,Ankzf1
1419818_x_at,Ankzf1
1419819_s_at,Sec63
1419820_at,Pkhd1
1419821_s_at,Idh1
1419822_at,Eif3e
1419823_s_at,Ksr1
1419824_a_at,Aasdh
1419826_at,Kif17
1419827_s_at,Kif17
1419828_at,Usp31
1419829_a_at,Gab2
1419831_at,AA416453
1419832_s_at,Acpp
1419833_s_at,Arap3
1419834_x_at,Mark1
1419835_s_at,Plec
1419837_at,Treml2
1419838_s_at,Plk4
1419839_x_at,Prpf19
1419840_at,Krt72
1419842_at,Gm2682
1419844_a_at,LOC545086
1419845_at,Dlx1as
1419848_x_at,Tlr7
1419851_at,Slc4a8
1419853_a_at,P2rx7
1419864_x_at,Tnpo1
1419866_s_at,Atxn2
1419867_a_at,Ankhd1
1419869_s_at,Hdlbp
1419871_at,Sik2
1419872_at,Csf1r
1419873_s_at,Csf1r
1419874_x_at,Zbtb16
1419876_at,2810449G22Rik
1419877_x_at,2810449G22Rik
1419879_s_at,Trim25
1419883_s_at,Atp6v1b2
1419885_at,DXErtd223e
1419886_at,DXErtd223e
1419888_at,Gm38604
1419889_at,Gm38604
1419891_s_at,C77545
1419892_at,Ccdc167
1419893_at,D930048N14Rik
1419894_at,Gm6787
1419895_at,AA536748
1419896_at,Tet1
1419897_at,Tet1
1419898_s_at,Zc3h7a
1419899_at,Zc3h7a
1419900_at,Man2c1os
1419901_at,Gm11110
1419903_at,Dbndd2
1419904_at,Dbndd2
1419905_s_at,Hpgd
1419906_at,Hpgd
1419907_s_at,Fcrla
1419908_at,Fcrla
1419909_at,Mphosph9
1419910_at,Mphosph9
1419911_at,Coro1c
1419912_s_at,Strap
1419913_at,Strap
1419914_s_at,Nus1
1419915_at,Nus1
1419916_at,Rnf20
1419917_s_at,Tmed7
1419918_at,Tmed7
1419919_at,4833422M21Rik
1419920_s_at,Usp7
1419921_s_at,Usp7
1419922_s_at,Atrnl1
1419924_at,Fnip1
1419925_s_at,Tmx3
1419926_at,Tmx3
1419927_s_at,Rabif
1419928_at,Lrig1
1419929_at,D15Ertd55e
1419930_at,D15Ertd55e
1419931_at,Abcb7
1419932_s_at,AU021895///Gpr137b
1419933_at,Pdrg1
1419934_at,Pdrg1
1419935_s_at,Csnk2a2
1419936_at,Csnk2a2
1419937_at,Gm12264
1419938_s_at,Arhgef17
1419939_at,Arhgef17
1419940_at,C030018P15Rik
1419941_at,C030018P15Rik
1419942_at,Srxn1
1419943_s_at,Gm5593///Ccnb1
1419944_at,Ccnb1
1419945_s_at,Rab2a
1419946_s_at,Rab2a
1419947_at,D4Ertd117e
1419948_at,D4Ertd117e
1419949_at,Tmem38b
1419950_s_at,Tnpo3
1419951_at,Lman1
1419952_at,LOC102640359
1419953_at,C80678
1419954_s_at,Zfand3
1419955_at,Zfand3
1419956_at,C77144
1419957_at,C77144
1419958_at,Cphx3///Cphx2///Cphx1
1419959_s_at,Cphx3///Cphx2///Cphx1
1419960_at,Cphx3
1419961_s_at,Cphx3
1419963_at,Deptor
1419964_s_at,Hdgf
1419965_at,Tubb2a-ps2
1419966_at,Tubb2a-ps2
1419967_at,Seh1l
1419968_at,C77370
1419969_at,C77370
1419970_at,Slc35a5
1419971_s_at,Slc35a5
1419972_at,Slc35a5
1419973_at,Oxsm
1419974_at,Scp2
1419975_at,Scp2
1419976_s_at,Nfatc3
1419977_s_at,Esrp2
1419978_s_at,Arhgef25
1419979_s_at,Creb3
1419980_at,Gba2
1419981_at,Riok3
1419983_at,Zfp644
1419984_s_at,Zfp644
1419985_s_at,Ccdc69
1419986_at,Ccdc69
1419988_at,Map3k7
1419989_at,Commd5
1419990_at,A830082K12Rik
1419991_at,Rab3il1
1419992_x_at,Rab3il1
1419993_at,Rab3il1
1419994_s_at,Anapc16
1419995_at,Anapc16
1419996_s_at,Arnt
1419997_at,Mfn1
1419999_at,Igbp1
1420000_s_at,Igbp1
1420001_at,D7Ertd1e
1420002_at,D7Ertd1e
1420003_at,Nsun5
1420004_s_at,Pom121
1420005_s_at,Bmp15
1420006_at,Bmp15
1420007_at,Wwc1
1420008_s_at,Wwc1
1420009_at,Wwc1
1420010_at,Serinc4
1420011_s_at,Xbp1
1420012_at,Xbp1
1420013_s_at,Lss
1420014_at,Lss
1420015_s_at,Ppt1
1420016_at,Ppt1
1420017_at,Tspan8
1420018_s_at,Tspan8
1420019_at,Tspan8
1420020_at,Suz12
1420021_s_at,Suz12
1420022_s_at,Suz12
1420023_at,Etf1
1420024_s_at,Etf1
1420025_s_at,Aak1
1420026_at,Aak1
1420027_at,C80171
1420028_s_at,Mcm3
1420029_at,Mcm3
1420030_at,Slu7
1420031_at,Chek1
1420032_at,Chek1
1420033_s_at,Ppp2r2d
1420034_at,Ppp2r2d
1420035_at,Aqp6
1420036_at,Ate1
1420037_at,Atp5a1
1420038_at,Atp6v1e1
1420039_s_at,Cbx7
1420040_at,Fam73b
1420042_at,Thoc1
1420043_s_at,Thoc1
1420044_at,Osbpl9
1420046_s_at,Maf1
1420047_at,Maf1
1420048_at,C78859
1420049_at,C78859
1420052_x_at,Psmb1
1420053_at,Psmb1
1420054_s_at,Slc35c2
1420055_at,Slc35c2
1420056_s_at,Jmjd6
1420057_at,Jmjd6
1420058_s_at,Mtfr1l
1420059_at,Mtfr1l
1420060_s_at,AA675344
1420061_s_at,AA675344
1420064_s_at,Tktl1
1420065_at,Tktl1
1420066_s_at,Cd160
1420067_at,Cd160
1420070_a_at,Slc9a5
1420074_at,D8Ertd738e
1420077_at,E230029C05Rik
1420079_at,Vmn2r103///Vmn2r97///Vmn2r96///Vmn2r98
1420080_a_at,Gfpt1
1420081_s_at,Knstrn
1420082_at,Knstrn
1420083_at,AU016916
1420085_at,Fgf4
1420086_x_at,Fgf4
1420087_at,Fzd3
1420088_at,Nfkbia
1420089_at,Nfkbia
1420090_at,Raf1
1420091_s_at,Morc3
1420092_at,Morc3
1420093_s_at,Hnrnpdl
1420095_s_at,Zscan21
1420096_at,Zscan21
1420097_at,D13Ertd787e
1420098_s_at,D13Ertd787e
1420099_at,D13Ertd787e
1420100_s_at,D13Ertd787e
1420101_at,2610020H08Rik
1420105_at,D13Ertd205e
1420106_at,Siah1a
1420107_at,Bbs4
1420110_s_at,Zfp334
1420111_at,Zfp334
1420113_s_at,Coprs
1420114_s_at,Coprs
1420115_at,Exosc8
1420116_s_at,Golph3
1420118_s_at,Galm
1420119_s_at,Phf3
1420120_at,Phf3
1420121_at,AA517858
1420122_at,AA517858
1420123_at,Tcta
1420124_s_at,Tcta
1420125_at,Tcta
1420126_at,AA522020
1420127_s_at,Ccpg1
1420128_s_at,Pigb
1420129_s_at,Rtcb
1420130_s_at,Rtcb
1420131_s_at,Pttg1ip
1420132_s_at,Pttg1ip
1420133_at,Gm11487
1420134_at,Gm11487
1420138_at,Slc19a1
1420139_s_at,Krr1
1420140_at,Mepce
1420141_at,AA517023
1420142_s_at,Pa2g4
1420143_at,Rc3h2
1420144_x_at,Rc3h2
1420146_at,Tiam2
1420147_at,AA407331
1420148_at,Slc6a6
1420150_at,Spsb1
1420155_at,AA408954
1420156_at,AA408954
1420157_s_at,Abcf1
1420158_s_at,Abcf1
1420159_at,Myo1e
1420160_s_at,Myo1e
1420161_at,AA409749
1420162_at,AA409749
1420163_at,AA511261
1420164_at,D7Ertd183e
1420165_s_at,Dnajc17
1420166_at,Dntt
1420168_at,AA517841
1420169_at,AA517841
1420170_at,Myh9
1420171_s_at,Myh9
1420172_at,Myh9
1420173_at,D11Ertd326e
1420174_s_at,Tax1bp1
1420175_at,Tax1bp1
1420176_x_at,Igll1
1420177_at,Igll1
1420180_at,AA589418
1420181_at,Gm9112
1420182_x_at,Dmrt3
1420183_at,Lor
1420184_at,Lor
1420185_at,Ssx2ip
1420187_at,C76628
1420188_at,Syt6
1420191_s_at,Tmem191c
1420192_at,Tmem191c
1420193_at,Krt17
1420196_s_at,Tbc1d14
1420197_at,Gadd45b
1420199_at,Slc35a4
1420209_at,Dus4l
1420210_at,Slc8a1
1420212_at,Gm36243
1420213_x_at,Gm36243
1420214_at,1810012K16Rik
1420215_x_at,1810012K16Rik
1420216_at,1810012K16Rik
1420219_at,Dnajc21
1420220_x_at,Dnajc21
1420221_at,Dnajc21
1420226_x_at,Hoxa4
1420230_at,AA414993
1420235_at,Bphl
1420239_x_at,March2
1420240_at,Smarcd1
1420243_at,Zeb1
1420245_x_at,Tagln2
1420246_at,Ankzf1
1420247_at,Glb1l
1420248_at,Tubg2
1420249_s_at,Ccl6
1420253_at,D2Ertd63e
1420256_x_at,Prph
1420257_at,1700073E17Rik
1420258_at,1700073E17Rik
1420259_at,Pkp2
1420260_at,Phf7
1420261_at,Psen1
1420265_x_at,Cog8
1420266_at,Gm10627
1420267_at,2610201A13Rik
1420268_x_at,2610201A13Rik
1420269_at,2610201A13Rik
1420271_at,Rpusd2
1420272_at,Samhd1
1420273_x_at,Samhd1
1420274_at,Tap1
1420276_x_at,Mmrn2
1420278_at,Prss58
1420279_at,Prss58
1420280_x_at,Col9a3
1420282_s_at,Prss29
1420283_at,Phf14
1420284_at,Gpank1
1420293_at,Lpcat1
1420294_at,Lpcat1
1420295_x_at,Clcn5
1420299_at,Gabra2
1420301_at,AA414903
1420302_at,AA414903
1420303_x_at,Rps4x
1420307_a_at,Pitpnb
1420321_at,Rsad1
1420325_at,Cramp1l
1420326_s_at,Cramp1l
1420328_at,Rep15
1420329_at,Timmdc1
1420330_at,Clec4e
1420331_at,Clec4e
1420332_x_at,Lce1d
1420333_at,Txndc8
1420334_at,Slc12a8
1420335_at,Dmc1
1420336_at,Adamtsl5
1420337_at,Gbx2
1420338_at,Alox15
1420339_at,Memo1
1420340_at,Cspp1
1420341_at,Tmco5
1420342_at,Gdap10
1420343_at,Gzmd
1420344_x_at,Gzmd
1420345_at,Cldn14
1420346_at,Asb12
1420347_at,Bpifa1
1420348_at,Lhx5
1420349_at,Ptgfr
1420350_at,Lce1a2
1420351_at,Tnfrsf4
1420352_at,Prss22
1420353_at,Lta
1420354_at,Cnnm1
1420355_at,Grk4
1420356_at,Ninj2
1420357_s_at,Xlr3b///Xlr3c///Xlr3a
1420358_at,Krtap13
1420359_at,Sva
1420360_at,Dkk1
1420361_at,Slc11a1
1420362_a_at,Bik
1420363_at,Bik
1420364_at,Gpr87
1420365_a_at,Hnrnpa2b1
1420366_at,Spesp1
1420367_at,Denr
1420368_at,Denr
1420369_a_at,Csn2
1420370_s_at,Csn2
1420371_at,Sntb2
1420372_at,Sntb2
1420373_at,Foxj2
1420374_at,Foxj2
1420375_at,Kif3a
1420376_a_at,Gm12657///Gm6749///H3f3c///Gm10257///H3f3b///H3f3a
1420377_at,St8sia2
1420378_at,Sftpd
1420379_at,Slco1a1
1420380_at,Ccl2
1420381_a_at,Rpl31-ps12///Rpl31
1420382_at,Apobr
1420383_a_at,Col4a3bp
1420384_at,Col4a3bp
1420385_at,Gna14
1420386_at,Seh1l
1420387_at,Mpv17
1420388_at,Prss12
1420389_at,Pax3
1420390_s_at,Zfp354a
1420391_at,Pard3
1420392_at,Ubl4b
1420393_at,Nos2
1420394_s_at,Lilrb4a///Lilr4b
1420395_a_at,Kif9
1420396_at,Cd160
1420397_a_at,Spen
1420398_at,Rgs18
1420399_at,Gfi1b
1420400_at,Sval1
1420401_a_at,Ramp3
1420402_at,Atp2b2
1420403_at,Atp2b2
1420404_at,Cd86
1420405_at,Slco1a4
1420406_at,Peg12
1420407_at,Ltb4r1
1420408_a_at,Abcc9
1420409_at,Krt35
1420410_at,Nr5a2
1420411_a_at,Pi4k2b
1420412_at,Tnfsf10
1420413_at,Slc7a11
1420414_at,Hoxa11
1420415_at,Krtap19-9b
1420416_at,Sema3a
1420417_at,Sema3a
1420418_at,Syt2
1420419_a_at,Otof
1420420_at,Hao1
1420421_s_at,Klrb1b
1420422_at,Pcdhb21
1420423_at,Tcl1b4
1420424_at,Hypm
1420425_at,Prdm1
1420426_at,Myo7b
1420427_a_at,Dhx32
1420428_at,Ager
1420429_at,Pcdhb3
1420430_a_at,Ccdc159
1420431_at,Rptn
1420432_at,Tas1r1
1420433_at,Taf7l
1420434_at,Cldn16
1420435_at,Krt88
1420436_x_at,Tex21
1420437_at,Ido1
1420438_at,Orm2
1420439_at,Tsx
1420440_at,Ppy
1420441_at,Cenpc1
1420442_at,Cacna1s
1420443_at,Pcdhb19
1420444_at,Slc22a3
1420445_at,Slc16a8
1420446_at,Odf3
1420447_at,Sult1e1
1420448_at,Rhox2e///Rhox2a
1420449_at,Heatr5b
1420450_at,Mmp10
1420451_at,Asic5
1420452_at,Krtap5-2
1420453_at,Crygs
1420454_at,Rai1
1420455_at,Gcm2
1420456_at,Gcm2
1420457_at,Dvl3
1420458_at,Tac4
1420459_at,Ripply3
1420460_a_at,Pex11b
1420461_at,Mst1r
1420462_at,Il1rapl2
1420463_at,Clnk
1420464_s_at,Gm14548///Gm10693///Pirb///Pira7///Pira6///Pira5///Pira4///Lilra6///Pira2///Pira11///Pira1
1420465_s_at,Mup19///Gm2083///Mup8///Mup7///Mup16///Mup15///Mup14///Mup13///Mup12///Mup10///Mup9///Mup2///Mup1
1420466_at,Mucl1
1420467_at,Psors1c2
1420468_at,Asb17
1420469_at,4933411G06Rik
1420470_at,Sult1c1
1420471_at,Hcrt
1420472_at,Mtpn
1420473_at,Mtpn
1420474_at,Mtpn
1420475_at,Mtpn
1420476_a_at,Nap1l1
1420477_at,Nap1l1
1420478_at,Nap1l1
1420479_a_at,Nap1l1
1420480_at,Cnnm3
1420481_at,Cnnm3
1420482_at,Cnnm3
1420483_at,Cnnm3
1420484_a_at,Vtn
1420485_at,Nol7
1420486_at,Nol7
1420487_at,Nol7
1420488_at,Mrps14
1420489_at,Mrps14
1420490_at,Klk1b16
1420491_at,Eif2s1
1420492_s_at,Smr3a
1420493_a_at,Pcyt2
1420494_x_at,Ubc
1420495_a_at,Vps26a
1420496_at,F12
1420497_a_at,Cebpz
1420498_a_at,Dab2
1420499_at,Gch1
1420500_at,Dnajc1
1420501_at,Dnajc1
1420502_at,Sat1
1420503_at,Slc6a14
1420504_at,Slc6a14
1420505_a_at,Stxbp1
1420506_a_at,Stxbp1
1420507_a_at,Srek1ip1
1420508_at,Sema3f
1420509_at,Srfbp1
1420510_at,Srfbp1
1420511_at,Prph2
1420512_at,Dkk2
1420513_at,Efcab2
1420514_at,Tmem47
1420515_a_at,Pglyrp2
1420516_at,a
1420517_at,Chmp4c
1420518_a_at,Igsf9
1420519_a_at,Eral1
1420520_x_at,Eral1
1420521_at,Papln
1420522_at,Ccdc50
1420523_at,Ccdc50
1420524_a_at,Masp2
1420525_a_at,Otc
1420526_at,Dcbld2
1420527_s_at,Tcp10b///Tcp10a
1420528_at,Gpatch2
1420529_at,Dpf1
1420530_at,Dpf1
1420531_at,Hsd3b5
1420532_at,Magi2
1420533_at,Gucy1a3
1420534_at,Gucy1a3
1420535_a_at,Nub1
1420536_at,Crybb2
1420537_at,Kctd4
1420538_at,Gprc5d
1420539_a_at,Chrdl2
1420540_a_at,Rit1
1420541_at,Rdh16
1420542_at,Dnajc28
1420543_at,Dnajc28
1420544_at,Gcsam
1420545_a_at,Chn1
1420546_at,Th
1420547_at,Galc
1420548_a_at,Knop1
1420549_at,Gbp2b
1420550_at,Lce1f
1420551_at,Murc
1420552_s_at,Tsga8
1420553_x_at,Serpina1d///Serpina1a
1420554_a_at,Rac3
1420555_at,Alx3
1420556_at,Oxt
1420557_at,Epha5
1420558_at,Selp
1420559_a_at,Shox2
1420560_at,Chrne
1420561_at,Trpc7
1420562_at,Slurp1
1420563_at,Gria3
1420564_at,Insrr
1420565_at,Hoxa1
1420566_at,Sphk1
1420567_at,Prkd3
1420568_at,Stra8
1420569_at,Chad
1420570_x_at,LOC100041483///Tcl1b3
1420571_at,Prl6a1
1420572_at,Ms4a3
1420573_at,Hoxd1
1420574_at,Tex43
1420575_at,Mt3
1420576_at,Lpar2
1420577_at,Aicda
1420578_at,Optc
1420579_s_at,Cftr
1420580_at,4930429B21Rik
1420581_at,Gpr143
1420582_at,Cd209e
1420583_a_at,Rora
1420584_at,Pla2g2c
1420585_a_at,Nxf2
1420586_at,Zfp493
1420587_at,Tsga13
1420588_at,Eppin
1420589_at,Has3
1420590_at,Has1
1420591_at,Gpr84
1420592_a_at,Anp32e
1420593_a_at,Tead3
1420594_at,Bard1
1420595_at,Dlx4
1420596_at,Cacng2
1420597_a_at,Cabp2
1420598_x_at,Defa-rs2
1420599_at,Gm11554///Gm11569///Krtap4-13
1420600_at,Tpo
1420601_at,Gcm1
1420602_a_at,Esx1
1420603_s_at,Raet1e///Raet1d///Raet1c///Raet1b///Raet1a
1420604_at,Hesx1
1420605_at,Mtag2
1420606_at,Npff
1420607_at,Rbm18
1420608_at,Rbm18
1420609_at,March7
1420610_at,Prkacb
1420611_at,Prkacb
1420612_s_at,Ptp4a2
1420613_at,Ptp4a2
1420614_at,Dynlt3
1420615_at,Ash2l
1420616_at,Ash2l
1420617_at,Cpeb4
1420618_at,Cpeb4
1420619_a_at,Aes
1420620_a_at,Rnf13
1420621_a_at,App
1420622_a_at,Hspa8
1420623_x_at,Hspa8
1420624_a_at,Vamp8
1420625_at,Gtf3c6
1420626_at,Gtf3c6
1420627_a_at,Csn1s1
1420628_at,Pura
1420629_a_at,Dnaja3
1420630_at,Fam234b
1420631_a_at,Blcap
1420632_a_at,Bscl2
1420633_a_at,Csn1s2a
1420634_a_at,Smad2
1420635_a_at,Tcirg1
1420636_a_at,Dusp12
1420637_at,Prps2
1420638_at,Prps2
1420639_at,Jmy
1420640_at,Jmy
1420641_a_at,Sqrdl
1420642_a_at,Romo1
1420643_at,Lfng
1420644_a_at,Sec61a2
1420645_at,Pcgf2
1420646_at,Nus1
1420647_a_at,Krt8
1420648_at,Trim12a
1420649_at,Zfhx3
1420650_at,Zfhx3
1420651_at,Ate1
1420652_at,Ate1
1420653_at,Tgfb1
1420654_a_at,Gbe1
1420655_at,Pnpla3
1420656_at,Abcg8
1420657_at,Ucp3
1420658_at,Ucp3
1420659_at,Slamf6
1420660_at,Lrrc6
1420661_a_at,Gid4
1420662_at,Gid4
1420663_at,Zbtb7b
1420664_s_at,Procr
1420665_at,Itgb3bp
1420666_at,Doc2b
1420667_at,Doc2b
1420668_a_at,Yipf2
1420669_at,Arnt2
1420670_at,Arnt2
1420671_x_at,Ms4a4c
1420672_at,Kcne1
1420673_a_at,Acox2
1420674_at,Pla2g2e
1420675_at,Zfp113
1420676_at,Lce1a1
1420677_x_at,Lce1a1
1420678_a_at,Il17rb
1420679_a_at,Aig1
1420680_at,Cts8
1420681_at,1700120K04Rik
1420682_at,Chrnb1
1420683_at,Bnipl
1420684_at,Acox3
1420685_at,Grap2
1420686_at,Cryba4
1420687_at,4932438H23Rik
1420688_a_at,Sgce
1420689_at,4933415F23Rik
1420690_at,Fgf10
1420691_at,Il2ra
1420692_at,Il2ra
1420693_at,Myom1
1420694_a_at,Dach1
1420695_at,Dach1
1420696_at,Sema3c
1420697_at,Slc15a3
1420698_at,Gpx5
1420699_at,Clec7a
1420700_s_at,Izumo1r
1420701_at,Klk1b1
1420702_at,1700093K21Rik
1420703_at,Csf2ra
1420704_at,Csf2ra
1420705_at,Foxb1
1420706_at,Srcin1
1420707_a_at,Traip
1420708_at,Traip
1420709_s_at,Dao
1420710_at,Rel
1420711_a_at,Pex2
1420712_a_at,Hpn
1420713_a_at,Mdfi
1420714_at,Lbx2
1420715_a_at,Pparg
1420716_at,Cd247
1420717_at,A930018P22Rik
1420718_at,Tenm2
1420719_at,Tex15
1420720_at,Nptx2
1420721_at,4921536K21Rik
1420722_at,Elovl3
1420723_at,Vnn3
1420724_at,1700067P10Rik
1420725_at,Tmlhe
1420726_x_at,Tmlhe
1420727_a_at,Tmlhe
1420728_at,Krt32
1420729_at,Tcstv1
1420730_a_at,Tcp11
1420731_a_at,Csrp2
1420732_at,Rwdd3
1420733_at,Cab39l
1420734_at,Ppp1r3f
1420735_at,Gabrr2
1420736_at,Sim1
1420737_at,Pmfbp1
1420738_at,Mzf1
1420739_at,Cntn3
1420740_at,Il25
1420741_x_at,Lce1i
1420742_at,Adam7
1420743_a_at,Ppp3cc
1420744_at,Chrnb2
1420745_a_at,Ccndbp1
1420746_at,Prl3a1
1420747_at,Ppnr
1420748_a_at,Adat1
1420749_a_at,Pou6f1
1420750_at,1110006O24Rik
1420751_at,Gm10228
1420752_at,Dtx3
1420753_at,Tll1
1420754_at,Ttf1
1420755_a_at,Park2
1420756_at,Fut7
1420757_at,Myf5
1420758_at,5830411J07Rik
1420759_s_at,Zfy2///Zfy1
1420760_s_at,Ndrg1
1420761_at,Chrnd
1420762_a_at,Ybx2
1420763_at,Klk4
1420764_at,Scrg1
1420765_a_at,Foxp3
1420766_at,Socs7
1420767_at,Nat8f4
1420768_a_at,Dhx58
1420769_at,Dhx58
